	gene	GCF_000007885.1_ASM788v1	GCF_000009065.1_ASM906v1	GCF_000013805.1_ASM1380v1	GCF_000013825.1_ASM1382v1	GCF_000016445.1_ASM1644v1	GCF_000018805.1_ASM1880v1	GCF_000022805.1_ASM2280v1	GCF_000022845.1_ASM2284v1	GCF_000168235.2_ASM16823v2	GCF_000009345.1_ASM934v1	GCF_000016945.1_ASM1694v1	GCF_000047365.1_ASM4736v1	GCF_000167975.1_ASM16797v1	GCF_000167995.1_ASM16799v1	GCF_000168015.1_ASM16801v1	GCF_000168035.1_ASM16803v1	GCF_000173715.1_ASM17371v1	GCF_000173735.1_ASM17373v1	GCF_000173755.1_ASM17375v1	present
0	WP_000140406.1	1.0	1.0	0.04777070063694268	1.0	1.0	1.0	1.0	0.050955414012738856	1.0	0.9426751592356688	0.0732484076433121	1.0	0.07643312101910828	0.09554140127388536	0.09554140127388536	0.09872611464968153	0.054140127388535034	0.05732484076433121	0.04777070063694268	9
1	WP_000163862.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1	0.1	0.1	0.05	0.06	0.09	0.12	0.09	0.1	0.06	9
2	WP_000176291.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0963855421686747	0.12048192771084337	0.1566265060240964	0.07228915662650602	0.12048192771084337	0.12048192771084337	0.0963855421686747	0.060240963855421686	0.0963855421686747	0.07228915662650602	9
3	WP_000205185.1	1.0	1.0	0.05357142857142857	1.0	1.0	1.0	1.0	0.05357142857142857	1.0	0.05357142857142857	0.07142857142857142	1.0	0.14285714285714285	0.10714285714285714	0.05357142857142857	0.19642857142857142	0.05357142857142857	0.07142857142857142	0.05357142857142857	8
4	WP_000255944.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07164179104477612	0.07462686567164178	1.0	0.0626865671641791	0.05970149253731343	0.06865671641791045	0.07761194029850746	0.06865671641791045	0.056716417910447764	0.04477611940298507	10
5	WP_000429386.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.972972972972973	1.0	1.0	0.9459459459459459	0.9594594594594594	0.9459459459459459	0.9594594594594594	0.9459459459459459	0.9459459459459459	0.9324324324324325	19
6	WP_000440566.1	1.0	1.0	1.0	0.9433962264150944	1.0	1.0	1.0	1.0	1.0	0.02830188679245283	0.07547169811320754	0.05660377358490566	0.03773584905660377	0.018867924528301886	0.018867924528301886	0.02830188679245283	0.018867924528301886	0.02830188679245283	0.02830188679245283	9
7	WP_000703040.1	0.9883449883449883	1.0	0.06293706293706294	1.0	1.0	1.0	1.0	0.06060606060606061	1.0	0.972027972027972	0.0675990675990676	1.0	0.07925407925407925	0.08391608391608392	0.08624708624708624	0.08624708624708624	0.06993006993006994	0.07692307692307693	0.05128205128205128	9
8	WP_000920226.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.024096385542168676	0.060240963855421686	0.04819277108433735	0.03614457831325301	0.03614457831325301	0.04819277108433735	0.024096385542168676	0.04819277108433735	0.03614457831325301	0.03614457831325301	9
9	WP_000937857.1	1.0	1.0	0.09574468085106383	1.0	1.0	1.0	1.0	0.10106382978723404	1.0	0.10106382978723404	0.09574468085106383	1.0	0.11702127659574468	0.13297872340425532	0.10638297872340426	0.0851063829787234	0.10106382978723404	0.0851063829787234	0.06914893617021277	8
10	WP_000952684.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.014492753623188406	0.028985507246376812	0.043478260869565216	0.043478260869565216	0.043478260869565216	0.043478260869565216	0.043478260869565216	0.043478260869565216	0.043478260869565216	0.11594202898550725	9
11	WP_000982866.1	1.0	1.0	0.055401662049861494	1.0	1.0	1.0	1.0	0.05263157894736842	1.0	0.8753462603878116	0.055401662049861494	1.0	0.05263157894736842	0.07202216066481995	0.07479224376731301	0.0664819944598338	0.05263157894736842	0.04986149584487535	0.055401662049861494	9
12	WP_001027662.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03669724770642202	0.01834862385321101	0.01834862385321101	0.009174311926605505	0.03669724770642202	0.03669724770642202	0.03669724770642202	0.03669724770642202	0.027522935779816515	0.009174311926605505	9
13	WP_001088826.1	1.0	1.0	0.11538461538461539	1.0	1.0	1.0	1.0	0.12115384615384615	1.0	0.8826923076923077	0.12884615384615383	1.0	0.09423076923076923	0.12307692307692308	0.12884615384615383	0.09807692307692308	0.12692307692307692	0.09423076923076923	0.11730769230769231	9
14	WP_001112403.1	1.0	1.0	0.0625	1.0	1.0	1.0	1.0	0.0625	1.0	0.03125	0.078125	1.0	0.015625	0.015625	0.015625	0.046875	0.0625	0.0	0.046875	8
15	WP_001144069.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9393939393939394	1.0	1.0	19
16	WP_001181005.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8877551020408163	19
17	WP_001286280.1	1.0	1.0	0.1377672209026128	1.0	1.0	1.0	1.0	0.14014251781472684	1.0	0.9192399049881235	0.14014251781472684	1.0	0.14014251781472684	0.14014251781472684	0.12589073634204276	0.14489311163895488	0.11401425178147269	0.12589073634204276	0.10926365795724466	9
18	WP_001317493.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.11764705882352941	0.10196078431372549	1.0	0.10588235294117647	0.12549019607843137	0.13333333333333333	0.11372549019607843	0.10196078431372549	0.12156862745098039	0.09411764705882353	10
19	WP_001327262.1	1.0	0.9893805309734514	0.13628318584070798	1.0	1.0	1.0	0.9893805309734514	0.13805309734513274	0.9893805309734514	0.95929203539823	0.13982300884955753	0.9893805309734514	0.12035398230088495	0.1433628318584071	0.12920353982300886	0.13628318584070798	0.12920353982300886	0.13097345132743363	0.10973451327433628	9
20	WP_002208488.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.875	1.0	1.0	0.8125	0.6	0.875	0.8625	0.8125	0.8125	0.85	19
21	WP_002208490.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7824561403508772	1.0	1.0	0.8842105263157894	0.8824561403508772	0.9052631578947369	0.8631578947368421	0.868421052631579	0.6789473684210526	0.7631578947368421	19
22	WP_002208491.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9207317073170732	1.0	1.0	0.8841463414634146	0.9207317073170732	0.926829268292683	0.8963414634146342	0.9207317073170732	0.9207317073170732	0.8170731707317073	19
23	WP_002208493.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.46621621621621623	0.972972972972973	0.972972972972973	0.42342342342342343	0.47297297297297297	0.46621621621621623	0.4774774774774775	0.46396396396396394	0.4527027027027027	0.06981981981981981	18
24	WP_002208494.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6936936936936937	0.9414414414414415	1.0	0.6936936936936937	0.6891891891891891	0.6441441441441441	0.7072072072072072	0.7117117117117117	0.6351351351351351	0.08108108108108109	18
25	WP_002208495.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5569620253164557	0.9696202531645569	1.0	0.4810126582278481	0.47848101265822784	0.5164556962025316	0.5341772151898734	0.10632911392405063	0.5063291139240507	0.08860759493670886	17
26	WP_002208496.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.586924219910847	0.9910846953937593	0.9910846953937593	0.5780089153046062	0.5690936106983655	0.5824665676077266	0.6032689450222882	0.20802377414561665	0.5438335809806835	0.20208023774145617	19
27	WP_002208497.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.06998158379373849	0.9668508287292817	0.9558011049723757	0.0847145488029466	0.09392265193370165	0.08103130755064457	0.08839779005524862	0.0718232044198895	0.06998158379373849	0.06261510128913444	11
28	WP_002208498.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07692307692307693	0.9875259875259875	0.9875259875259875	0.06652806652806653	0.06860706860706861	0.079002079002079	0.06444906444906445	0.06860706860706861	0.06652806652806653	0.058212058212058215	11
29	WP_002208502.1	1.0	1.0	1.0	1.0	1.0	0.9914346895074947	1.0	1.0	1.0	0.06638115631691649	0.987152034261242	0.987152034261242	0.0835117773019272	0.08137044967880086	0.4732334047109208	0.07708779443254818	0.07708779443254818	0.06852248394004283	0.06209850107066381	12
