	gene	GCF_000007885.1_ASM788v1	GCF_000009065.1_ASM906v1	GCF_000013805.1_ASM1380v1	GCF_000013825.1_ASM1382v1	GCF_000016445.1_ASM1644v1	GCF_000018805.1_ASM1880v1	GCF_000022805.1_ASM2280v1	GCF_000022845.1_ASM2284v1	GCF_000168235.2_ASM16823v2	GCF_000009345.1_ASM934v1	GCF_000016945.1_ASM1694v1	GCF_000047365.1_ASM4736v1	GCF_000167975.1_ASM16797v1	GCF_000167995.1_ASM16799v1	GCF_000168015.1_ASM16801v1	GCF_000168035.1_ASM16803v1	GCF_000173715.1_ASM17371v1	GCF_000173735.1_ASM17373v1	GCF_000173755.1_ASM17375v1	GCF_000163595.1_ASM16359v1	GCF_000176835.2_ASM17683v2	GCF_000186485.1_ASM18648v1	GCF_000187705.1_ASM18770v1	GCF_000214195.1_ASM21419v1	GCF_000214235.1_ASM21423v1	GCF_000214805.1_ASM21480v1	GCF_000241955.1_ASM24195v1	GCF_000257645.1_ASM25764v1	GCF_000261045.2_ASM26104v2	present	species_frac	genus_frac	family_frac	recent	ancient
0	WP_000140406.1	1.0	1.0	0.04777070063694268	1.0	1.0	1.0	1.0	0.050955414012738856	1.0	0.9426751592356688	0.0732484076433121	1.0	0.07643312101910828	0.09554140127388536	0.09554140127388536	0.09872611464968153	0.054140127388535034	0.05732484076433121	0.04777070063694268	0.08598726114649681	0.08598726114649681	0.028662420382165606	0.08917197452229299	0.08280254777070063	0.08280254777070063	0.08280254777070063	0.08917197452229299	0.06050955414012739	0.08598726114649681	9	0.7777777777777778	0.2	0.0	False	False
1	WP_000163862.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1	0.1	0.1	0.05	0.06	0.09	0.12	0.09	0.1	0.06	0.09	0.11	0.06	0.06	0.12	0.12	0.12	0.08	0.1	0.1	9	1.0	0.0	0.0	False	False
2	WP_000176291.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0963855421686747	0.12048192771084337	0.1566265060240964	0.07228915662650602	0.12048192771084337	0.12048192771084337	0.0963855421686747	0.060240963855421686	0.0963855421686747	0.07228915662650602	0.10843373493975904	0.0963855421686747	0.024096385542168676	0.0963855421686747	0.0963855421686747	0.0963855421686747	0.0963855421686747	0.13253012048192772	0.13253012048192772	0.0963855421686747	9	1.0	0.0	0.0	False	False
3	WP_000205185.1	1.0	1.0	0.05357142857142857	1.0	1.0	1.0	1.0	0.05357142857142857	1.0	0.05357142857142857	0.07142857142857142	1.0	0.14285714285714285	0.10714285714285714	0.05357142857142857	0.19642857142857142	0.05357142857142857	0.07142857142857142	0.05357142857142857	0.10714285714285714	0.08928571428571429	0.017857142857142856	0.03571428571428571	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.5535714285714286	0.5357142857142857	0.07142857142857142	10	0.7777777777777778	0.1	0.2	False	False
4	WP_000255944.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.07164179104477612	0.07462686567164178	1.0	0.0626865671641791	0.05970149253731343	0.06865671641791045	0.07761194029850746	0.06865671641791045	0.056716417910447764	0.04477611940298507	0.07462686567164178	0.08059701492537313	0.023880597014925373	0.06567164179104477	0.08059701492537313	0.08059701492537313	0.08059701492537313	0.07164179104477612	0.0626865671641791	0.08955223880597014	10	1.0	0.1	0.0	False	False
5	WP_000429386.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.972972972972973	1.0	1.0	0.9459459459459459	0.9594594594594594	0.9459459459459459	0.9594594594594594	0.9459459459459459	0.9459459459459459	0.9324324324324325	0.9324324324324325	0.9324324324324325	0.9324324324324325	0.9324324324324325	0.9324324324324325	0.9324324324324325	0.9324324324324325	0.9324324324324325	0.9324324324324325	0.9324324324324325	29	1.0	1.0	1.0	False	True
6	WP_000440566.1	1.0	1.0	1.0	0.9433962264150944	1.0	1.0	1.0	1.0	1.0	0.02830188679245283	0.07547169811320754	0.05660377358490566	0.03773584905660377	0.018867924528301886	0.018867924528301886	0.02830188679245283	0.018867924528301886	0.02830188679245283	0.02830188679245283	0.04716981132075472	0.04716981132075472	0.009433962264150943	0.05660377358490566	0.03773584905660377	0.03773584905660377	0.03773584905660377	0.05660377358490566	0.08490566037735849	0.03773584905660377	9	1.0	0.0	0.0	False	False
7	WP_000703040.1	0.9883449883449883	1.0	0.06293706293706294	1.0	1.0	1.0	1.0	0.06060606060606061	1.0	0.972027972027972	0.0675990675990676	1.0	0.07925407925407925	0.08391608391608392	0.08624708624708624	0.08624708624708624	0.06993006993006994	0.07692307692307693	0.05128205128205128	0.08624708624708624	0.08391608391608392	0.04895104895104895	0.10955710955710955	0.09090909090909091	0.09090909090909091	0.09090909090909091	0.0979020979020979	0.07459207459207459	0.08158508158508158	9	0.7777777777777778	0.2	0.0	False	False
8	WP_000920226.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.024096385542168676	0.060240963855421686	0.04819277108433735	0.03614457831325301	0.03614457831325301	0.04819277108433735	0.024096385542168676	0.04819277108433735	0.03614457831325301	0.03614457831325301	0.08433734939759036	0.10843373493975904	0.0	0.07228915662650602	0.07228915662650602	0.07228915662650602	0.07228915662650602	0.060240963855421686	0.0963855421686747	0.060240963855421686	9	1.0	0.0	0.0	False	False
9	WP_000937857.1	1.0	1.0	0.09574468085106383	1.0	1.0	1.0	1.0	0.10106382978723404	1.0	0.10106382978723404	0.09574468085106383	1.0	0.11702127659574468	0.13297872340425532	0.10638297872340426	0.0851063829787234	0.10106382978723404	0.0851063829787234	0.06914893617021277	0.05851063829787234	0.07446808510638298	0.026595744680851064	0.10106382978723404	0.0797872340425532	0.0797872340425532	0.0797872340425532	0.1276595744680851	0.10106382978723404	0.0797872340425532	8	0.7777777777777778	0.1	0.0	False	False
